Avion,Tiempo total(ms)
IBE-030,1758
IBE-017,1762
IBE-019,2144
IBE-005,2399
IBE-022,2494
IBE-026,2495
IBE-025,2745
IBE-004,2807
IBE-029,3085
IBE-020,3090
IBE-010,3360
IBE-016,3599
IBE-028,3602
IBE-024,3852
IBE-006,3854
IBE-011,4072
IBE-023,4072
IBE-013,4075
IBE-001,4259
IBE-012,4261
IBE-008,4262
IBE-014,4414
IBE-007,4415
IBE-009,4416
IBE-015,4541
IBE-027,4541
IBE-018,4542
IBE-021,4543
IBE-003,4652
IBE-002,4653
