Avion,Tiempo total(ms)
IBE-012,1228
IBE-001,1478
IBE-019,2033
IBE-017,2223
IBE-005,2225
IBE-004,2478
IBE-002,2480
IBE-007,2495
IBE-010,2682
IBE-006,2683
IBE-008,2684
IBE-014,2852
IBE-018,2852
IBE-003,2994
IBE-009,2995
IBE-016,2996
IBE-013,3105
IBE-011,3106
IBE-015,3216
IBE-020,3324
