Avion,Tiempo total(ms)
IBE-017,4745
IBE-008,6441
IBE-006,7190
IBE-010,7254
IBE-012,8070
IBE-013,8071
IBE-014,8821
IBE-005,8822
IBE-015,8823
IBE-019,9450
IBE-001,9891
IBE-009,9894
IBE-002,10269
IBE-011,10269
IBE-003,10271
IBE-004,10519
IBE-016,10519
IBE-018,10519
IBE-007,10631
IBE-020,10631
