Avion,Tiempo total(ms)
IBE-010,325
IBE-004,328
IBE-013,328
IBE-007,329
IBE-006,330
IBE-020,330
IBE-008,331
IBE-009,331
IBE-012,331
IBE-017,331
IBE-014,332
IBE-002,333
IBE-003,333
IBE-011,333
IBE-015,333
IBE-019,333
IBE-016,334
IBE-018,334
IBE-001,336
IBE-005,336
