Avion,Tiempo total(ms)
IBE-004,327
IBE-005,327
IBE-012,327
IBE-015,328
IBE-003,330
IBE-019,330
IBE-006,331
IBE-007,331
IBE-011,331
IBE-016,331
IBE-018,331
IBE-014,332
IBE-002,333
IBE-009,333
IBE-010,333
IBE-013,333
IBE-020,333
IBE-017,334
IBE-008,335
IBE-001,337
